"uid","item"
274,1377
86,518
378,1860
471,343
531,2388
349,1696
534,2402
3,19
545,2450
397,1926
216,1062
573,1052
238,1183
261,1120
37,343
474,2210
403,1957
548,2471
311,64
128,667
365,1802
382,1869
286,1425
467,2185
571,2549
594,64
355,1726
286,1429
581,2584
208,1033
28,228
589,2620
600,364
279,1385
126,556
45,390
410,1979
108,581
241,1196
554,2481
78,350
74,10
421,2057
349,1703
503,1150
3,78
176,904
342,1638
405,1967
107,580
289,1440
256,1252
3,68
231,1142
307,1507
3,16
393,1900
154,10
52,422
419,2028
152,805
610,172
533,2394
404,1963
159,829
546,2454
148,770
447,2135
345,1655
226,1111
66,10
131,683
189,975
518,1559
10,118
25,197
259,1304
416,2009
85,512
86,526
239,1189
265,1333
199,1009
115,607
38,347
143,61
459,2167
9,116
214,1048
516,2365
345,1656
317,89
7,93
114,598
317,1561
243,181
501,2328
266,1335
397,1924
179,818
332,93
18,169
260,1321
478,623
117,21
307,1508
275,1378
598,2646
457,2158
164,844
261,615
164,845
477,2228
334,496
472,2204
3,41
74,166
446,1118
603,2664
118,627
520,1334
334,166
65,21
100,557
434,2085
378,1861
570,2543
345,1647
114,596
311,349
371,1823
51,414
3,6
417,2018
28,214
524,2383
235,1155
186,942
561,2517
40,14
220,1079
492,2299
188,6
436,2088
604,2308
117,41
246,1225
580,2580
215,1053
397,1936
116,609
311,1527
372,364
221,147
186,957
182,920
552,2476
258,6
124,656
534,2398
148,770
37,345
503,1616
186,948
307,1511
488,2272
564,2529
364,343
201,146
300,1467
12,135
252,343
512,2352
20,176
538,2420
413,1999
419,2029
489,1037
17,163
365,1801
156,166
28,255
532,2393
179,917
260,1305
148,764
117,13
419,540
556,10
70,19
345,1651
525,2377
478,41
260,1319
256,1249
206,1028
209,416
129,10
235,1162
13,138
225,970
334,167
41,371
608,304
383,1877
322,171
108,583
360,1772
578,343
103,562
111,589
521,13
512,2353
594,21
19,10
151,794
32,291
84,93
354,1725
519,6
420,2034
396,1914
392,1897
310,1520
447,352
539,2422
52,416
388,1892
469,2195
542,2434
566,2533
37,64
317,81
417,2013
223,1101
65,27
84,465
594,2635
15,144
152,803
430,345
317,1567
594,1186
227,1121
134,692
227,1118
334,1463
380,6
491,2296
603,1632
103,560
386,1886
497,2315
79,498
557,2489
104,573
345,1667
9,97
575,433
421,2058
317,1563
194,993
286,1436
284,1394
201,1014
143,667
257,1281
286,1424
272,502
550,2475
267,1337
525,13
345,1663
489,1037
139,703
514,2360
60,347
52,432
222,1089
235,429
229,1133
324,1584
3,61
99,552
596,2639
479,2231
272,167
603,2654
67,460
459,2141
16,146
153,812
360,1774
176,899
49,406
488,2271
286,8
319,615
60,6
19,6
281,1388
3,47
49,404
69,462
262,168
436,2095
476,2217
28,279
256,1251
342,1640
314,1550
75,487
349,1693
402,1950
186,951
16,157
498,2317
36,330
76,493
28,269
593,2634
532,2391
171,873
143,6
18,167
124,662
420,2038
7,91
258,313
521,312
184,927
389,437
372,1828
430,2069
129,167
286,1433
172,887
505,2339
131,679
598,2644
260,1312
284,64
12,131
471,620
11,130
400,503
80,64
307,1501
236,1168
347,152
525,2377
585,2603
196,996
33,300
194,992
511,2350
475,172
80,499
28,222
314,11
348,1682
70,168
30,284
83,508
604,2666
581,2586
591,1629
566,2532
235,1152
227,1126
449,10
13,141
28,266
245,1212
571,364
115,606
260,1320
147,749
424,2063
307,1499
28,249
245,1213
426,19
284,41
158,823
100,556
300,1468
509,912
436,2089
74,169
286,1422
219,582
475,466
487,2263
221,146
231,312
12,134
475,13
419,2030
416,2008
471,1615
258,125
317,89
235,1162
518,315
306,1490
1,2
3,18
286,343
268,1341
148,765
257,1277
473,2206
19,171
517,2369
520,1555
532,2390
3,37
239,434
378,1860
369,1815
165,816
571,2251
117,416
571,2556
473,2207
529,93
132,685
445,466
553,2480
118,634
147,751
139,709
186,937
154,349
249,1238
288,167
49,403
508,1054
143,10
347,1673
151,781
258,14
593,2633
28,253
337,1624
558,2495
422,10
174,893
451,2149
498,167
488,2274
227,352
534,2400
139,714
449,349
408,171
9,114
560,2507
60,349
144,736
205,1026
31,287
571,2250
42,372
242,1199
72,167
359,1754
28,274
349,1688
9,115
3,23
419,2027
339,1629
3,53
215,354
489,2285
329,1600
351,1710
222,1092
48,398
139,711
36,334
71,166
280,1387
407,1075
335,337
508,2343
256,1262
143,731
609,64
433,2082
307,1498
543,2439
119,348
187,973
347,1678
259,1294
197,1001
222,1094
447,2140
534,2408
464,2178
32,293
594,344
121,642
253,1244
509,337
37,343
9,100
465,1811
321,343
186,955
40,369
3,75
574,2252
462,2175
559,2501
423,2061
3,49
52,429
240,1192
123,653
436,2096
49,408
560,2505
345,1649
581,2596
286,1430
143,496
522,64
223,1096
548,2466
193,987
613,125
122,650
268,1340
117,343
58,64
147,756
476,2222
548,1906
501,2329
471,181
21,182
548,2458
25,198
129,557
532,2392
186,962
335,160
32,289
570,2547
28,248
147,759
117,575
481,2244
525,27
341,1635
421,2056
3,25
268,496
522,13
365,1805
34,309
120,636
553,346
72,11
268,1343
539,2427
571,2564
603,2663
588,344
588,2140
86,416
436,2093
3,74
58,166
559,2503
392,1897
3,44
460,2169
201,1019
519,171
311,14
603,1629
225,1102
72,472
478,416
328,1599
525,10
117,620
118,625
588,64
28,227
198,1005
234,1149
44,383
383,181
610,170
260,1306
571,1340
548,2242
509,2037
358,1737
388,1891
243,11
314,20
547,2456
101,171
506,354
580,2583
555,343
225,968
259,1296
441,300
187,969
613,14
286,1407
311,167
553,343
3,30
22,184
588,1327
488,2270
261,1323
260,1313
506,2340
185,932
345,1661
131,684
201,1013
355,1728
48,398
558,2494
246,1222
594,125
239,345
145,743
39,354
177,910
235,1164
436,2107
3,75
166,850
38,350
216,1065
229,1136
324,1583
28,276
286,1423
436,2102
286,1401
206,1027
75,479
541,21
56,454
207,1030
391,581
588,2615
257,1281
272,181
3,32
196,997
98,549
3,39
230,1138
152,809
449,6
390,27
376,1844
191,984
60,168
223,1098
498,345
72,433
9,101
345,1654
272,345
269,1348
36,331
101,170
254,6
589,2617
394,1902
286,1427
363,1794
297,1459
70,8
359,1747
39,353
75,490
67,315
75,491
236,501
163,834
37,337
40,366
58,46
571,436
28,252
136,700
259,1292
68,312
286,368
474,1658
514,2361
9,112
368,6
268,189
598,167
52,433
86,523
529,171
467,2183
152,798
2,5
86,465
519,819
103,567
483,818
17,21
134,694
142,727
501,1245
270,1358
568,64
471,170
243,345
263,93
177,909
246,1224
63,64
268,345
209,167
286,1399
575,2371
447,64
286,1403
9,109
28,235
483,2252
362,1790
303,1478
491,2297
548,2467
376,1843
28,220
362,1791
147,755
49,407
347,1084
28,247
82,412
405,1966
52,419
162,833
143,171
413,2001
281,1389
339,1633
164,840
89,535
216,1064
340,130
339,1626
505,2338
361,1788
275,1380
571,2559
616,2691
169,864
345,1666
410,1992
193,989
74,20
600,2649
70,430
316,361
86,515
101,167
429,364
466,2182
347,1675
359,1756
286,1434
420,41
447,1329
460,2170
529,168
28,251
43,378
139,710
265,181
588,168
314,1330
256,1253
321,125
98,546
396,1913
331,1607
608,416
243,167
499,2325
31,64
339,1628
37,64
371,1824
422,865
479,2234
40,360
411,1994
283,1393
307,1495
472,2199
419,2026
9,114
32,296
594,13
591,1633
151,789
498,13
176,900
581,2595
433,2081
261,1124
581,2593
348,1683
347,1672
394,1903
529,126
200,1012
553,2479
352,648
448,169
499,2321
469,2190
